<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,futures_price,<VOL>
SPFB.GOLD,D,20180221,000000,1331.1000000,1338.5000000,1322.0000000,1327.0000000,80864
SPFB.GOLD,D,20180222,000000,1324.1000000,1336.0000000,1322.6000000,1334.6000000,57996
SPFB.GOLD,D,20180226,000000,1336.0000000,1344.8000000,1331.7000000,1335.1000000,74480
SPFB.GOLD,D,20180227,000000,1334.3000000,1336.4000000,1314.8000000,1318.6000000,80240
SPFB.GOLD,D,20180228,000000,1319.2000000,1323.4000000,1316.5000000,1318.0000000,58796
SPFB.GOLD,D,20180301,000000,1317.2000000,1323.0000000,1304.0000000,1320.5000000,125648
SPFB.GOLD,D,20180302,000000,1318.7000000,1327.4000000,1316.6000000,1322.6000000,69867
SPFB.GOLD,D,20180305,000000,1324.5000000,1329.0000000,1318.4000000,1321.4000000,59648
SPFB.GOLD,D,20180306,000000,1321.5000000,1339.3000000,1321.1000000,1335.2000000,89559
SPFB.GOLD,D,20180307,000000,1334.2000000,1335.9000000,1322.7000000,1324.5000000,57422
SPFB.GOLD,D,20180309,000000,1323.5000000,1326.1000000,1314.0000000,1324.1000000,55260
SPFB.GOLD,D,20180312,000000,1329.0000000,1331.6000000,1323.5000000,1331.4000000,4622
SPFB.GOLD,D,20180313,000000,1330.1000000,1336.9000000,1321.7000000,1336.8000000,10407
SPFB.GOLD,D,20180314,000000,1335.4000000,1343.2000000,1329.3000000,1331.7000000,25258
SPFB.GOLD,D,20180315,000000,1332.2000000,1332.9000000,1323.4000000,1324.8000000,52225
SPFB.GOLD,D,20180316,000000,1325.2000000,1329.6000000,1317.3000000,1322.2000000,44580
SPFB.GOLD,D,20180319,000000,1321.5000000,1327.7000000,1315.7000000,1325.2000000,50849
SPFB.GOLD,D,20180320,000000,1324.7000000,1324.9000000,1315.0000000,1320.5000000,51190
SPFB.GOLD,D,20180321,000000,1320.8000000,1343.7000000,1320.8000000,1341.4000000,101521
SPFB.GOLD,D,20180322,000000,1339.9000000,1341.5000000,1332.4000000,1338.0000000,47280
SPFB.GOLD,D,20180323,000000,1338.0000000,1358.1000000,1338.0000000,1354.7000000,69091
SPFB.GOLD,D,20180326,000000,1352.3000000,1363.4000000,1351.6000000,1360.7000000,52797
SPFB.GOLD,D,20180327,000000,1361.5000000,1365.0000000,1347.5000000,1351.2000000,54781
SPFB.GOLD,D,20180328,000000,1351.0000000,1351.0000000,1331.1000000,1332.0000000,63328
SPFB.GOLD,D,20180329,000000,1331.6000000,1333.9000000,1328.1000000,1332.9000000,44676
SPFB.GOLD,D,20180330,000000,1332.3000000,1335.9000000,1326.8000000,1328.2000000,10357
SPFB.GOLD,D,20180402,000000,1333.1000000,1351.6000000,1333.1000000,1347.6000000,46070
SPFB.GOLD,D,20180403,000000,1347.7000000,1348.2000000,1335.3000000,1338.0000000,49694
